,text,possibly_sensitive,edit_history_tweet_ids,context_annotations,reply_settings,id,source,created_at,lang,entities.annotations,entities.mentions,entities.urls,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,entities.hashtags,geo.place_id
0,"RT @attlas_exchange: ATTLAS AIRDROP: IPHONE 14 &amp; 600M SHIB PRIZE POOL!

👉Tasks: https://t.co/hNNlLIi7qT

🎁Rewards: 
Random 1 in Top Ref: 01…",False,['1590902070571601920'],"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",everyone,1590902070571601920,Twitter for Android,2022-11-11T02:59:45.000Z,en,"[{'start': 37, 'end': 42, 'probability': 0.4011, 'type': 'Organization', 'normalized_text': 'IPHONE'}]","[{'start': 3, 'end': 19, 'username': 'attlas_exchange', 'id': '1427191907252195328'}]","[{'start': 84, 'end': 107, 'url': 'https://t.co/hNNlLIi7qT', 'expanded_url': 'https://t.me/AttlasAirdropbot', 'display_url': 't.me/AttlasAirdropb…', 'status': 200, 'title': 'Attlas Airdrop', 'description': 'You can contact @AttlasAirdropbot right away.', 'unwound_url': 'https://t.me/AttlasAirdropbot'}]",3601,0,0,0,,
1,RT @Casetify: 🖤 ชาว BLINKS มาทางนี้เลย! สิ่งนี้สำหรับคุณโดยเฉพาะ 💖 ช้อปคอลเลกชั่น #BLACKPINKxCASETiFY ใหม่ล่าสุดได้แล้ววันนี้ รองรับ #iPhon…,False,['1590902050048856070'],,everyone,1590902050048856070,Twitter for iPhone,2022-11-11T02:59:40.000Z,th,,"[{'start': 3, 'end': 12, 'username': 'Casetify', 'id': '368835879'}]",,1177,0,0,0,"[{'start': 82, 'end': 101, 'tag': 'BLACKPINKxCASETiFY'}]",
2,Join me in this massive airdrop from Attlas with iPhone14 and 600.000.000 SHIB prize pool! https://t.co/RL17JLXC4e,False,['1590902027462533120'],"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",everyone,1590902027462533120,Twitter for Android,2022-11-11T02:59:35.000Z,en,"[{'start': 37, 'end': 42, 'probability': 0.4264, 'type': 'Organization', 'normalized_text': 'Attlas'}, {'start': 49, 'end': 56, 'probability': 0.812, 'type': 'Product', 'normalized_text': 'iPhone14'}, {'start': 74, 'end': 77, 'probability': 0.4599, 'type': 'Other', 'normalized_text': 'SHIB'}]",,"[{'start': 91, 'end': 114, 'url': 'https://t.co/RL17JLXC4e', 'expanded_url': 'https://wn.nr/c5bqK6', 'display_url': 'wn.nr/c5bqK6', 'images': [{'url': 'https://pbs.twimg.com/news_img/1590902028871827457/6PBIaTSt?format=jpg&name=orig', 'width': 540, 'height': 304}, {'url': 'https://pbs.twimg.com/news_img/1590902028871827457/6PBIaTSt?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Attlas Airdrop: iPhone 14 & 600.000.000 SHIB', 'description': 'Attlas is an investment platform which makes digital asset investment secure, fast and accessible to any investor. It offers lightning deposit and withdrawal, low-fee Futures & Spot trading and daily staking. Join Attlas to trade Bitcoin and +600 other cryptocurrencies at lowest fees with people around the world. Follow us on social channels, tweet about us & Invite friends to join our amazing event! MASSIVE PRIZE POOL: IPHONE 14 & 600.000.000 SHIB Top 1 with min 204 entries: 01 iPhone 14 (USDT worth) Top 5 by Referrals (min 20 referrals): 8 Million SHIB tokens/winner Random Top 5 with min 10 entries: 8 Million SHIB tokens/winner 1000 Random Winners: 500.000 SHIB tokens/winner Time: 13:00 2022/11/09 to 13:00 2022/11/20 (UTC) WINNERS WILL BE ANNOUNCED ON TUESDAY 22TH NOVEMBER ON OUR OFFICIAL CHANNELS! Complete all the tasks and earn entries Good luck to everyone!', 'unwound_url': 'https://gleam.io/ZMuT7/attlas-massive-iphone-14-600m-shib-airdrop?gsr=ZMuT7-gocbEQN2T0'}]",0,0,0,0,,
3,"RT @mainichikaitori: 11/11
高値更新！！
iphone14買取🍎 Pro Max:
256GB　￥213000
128GB　 ￥193000
14pro 🍎
256GB　￥199500
128GB　 ￥183000
🔥注意：予約受けず来店時点金額対応…",False,['1590902010509156354'],"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",everyone,1590902010509156354,Twitter for iPhone,2022-11-11T02:59:31.000Z,ja,,"[{'start': 3, 'end': 19, 'username': 'mainichikaitori', 'id': '1362296346686885889'}]",,9,0,0,0,,
4,"RT @attlas_exchange: ATTLAS AIRDROP: IPHONE 14 &amp; 600M SHIB PRIZE POOL!

👉Tasks: https://t.co/5xTKjhi2XU

🎁Rewards: 
Random 1 in Top Ref: 01…",False,['1590901973997740032'],"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",everyone,1590901973997740032,Twitter for Android,2022-11-11T02:59:22.000Z,en,"[{'start': 37, 'end': 42, 'probability': 0.4011, 'type': 'Organization', 'normalized_text': 'IPHONE'}]","[{'start': 3, 'end': 19, 'username': 'attlas_exchange', 'id': '1427191907252195328'}]","[{'start': 84, 'end': 107, 'url': 'https://t.co/5xTKjhi2XU', 'expanded_url': 'https://gleam.io/ZMuT7/attlas-massive-iphone-14-600m-shib-airdrop', 'display_url': 'gleam.io/ZMuT7/attlas-m…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1590276963167768576/VhghNGpR?format=png&name=orig', 'width': 1200, 'height': 1200}, {'url': 'https://pbs.twimg.com/news_img/1590276963167768576/VhghNGpR?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Attlas Airdrop: iPhone 14 & 600.000.000 SHIB', 'description': 'Attlas is an investment platform which makes digital asset investment secure, fast and accessible to any investor. It offers lightning deposit and withdrawal, low-fee Futures & Spot trading and daily staking. Join Attlas to trade Bitcoin and +600 other cryptocurrencies at lowest fees with people around the world. Follow us on social channels, tweet about us & Invite friends to join our amazing event! MASSIVE PRIZE POOL: IPHONE 14 & 600.000.000 SHIB Top 1 with min 204 entries: 01 iPhone 14 (USDT worth) Top 5 by Referrals (min 20 referrals): 8 Million SHIB tokens/winner Random Top 5 with min 8 entries: 8 Million SHIB tokens/winner 1000 Random Winners: 500.000 SHIB tokens/winner Time: 13:00 2022/11/09 to 13:00 2022/11/20 (UTC) WINNERS WILL BE ANNOUNCED ON TUESDAY 22TH NOVEMBER ON OUR OFFICIAL CHANNELS! Complete all the tasks and earn entries Good luck to everyone!', 'unwound_url': 'https://gleam.io/ZMuT7/attlas-massive-iphone-14-600m-shib-airdrop'}]",5919,0,0,0,,
5,Join me in this massive airdrop from Attlas https://t.co/inHoAKApR7 with iPhone14 and 600.000.000 SHIB prize pool! #attlas #attlas_airdrop,False,['1590901970860007424'],"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1139229087682068480', 'name': 'Tether cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1448236149676261380', 'name': 'Shiba Inu'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1139229087682068480', 'name': 'Tether cryptocurrency'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1448236149676261380', 'name': 'Shiba Inu'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1478776259068907541', 'name': 'Cryptotokens'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1484181943616884743', 'name': 'Cryptocoins'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1491481998862348291', 'name': 'Digital asset industry'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1492162686204854274', 'name': 'Digital assets & cryptocurrency', 'description': 'Cryptocurrency'}}, {'domain': {'id': '174', 'name': 'Digital Assets & Crypto', 'description': 'For cryptocurrency entities'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",everyone,1590901970860007424,Twitter for Android,2022-11-11T02:59:22.000Z,en,"[{'start': 37, 'end': 42, 'probability': 0.4188, 'type': 'Organization', 'normalized_text': 'Attlas'}, {'start': 73, 'end': 80, 'probability': 0.8627, 'type': 'Product', 'normalized_text': 'iPhone14'}, {'start': 98, 'end': 101, 'probability': 0.4638, 'type': 'Other', 'normalized_text': 'SHIB'}, {'start': 116, 'end': 121, 'probability': 0.3372, 'type': 'Organization', 'normalized_text': 'attlas'}, {'start': 124, 'end': 137, 'probability': 0.5835, 'type': 'Other', 'normalized_text': 'attlas_airdrop'}]",,"[{'start': 44, 'end': 67, 'url': 'https://t.co/inHoAKApR7', 'expanded_url': 'https://twitter.com/attlas_exchange/status/1590276961544601603', 'display_url': 'twitter.com/attlas_exchang…'}]",0,0,0,0,"[{'start': 115, 'end': 122, 'tag': 'attlas'}, {'start': 123, 'end': 138, 'tag': 'attlas_airdrop'}]",
6,"RT @Wowwlog: รีวิว #iPhone14ProMax ใต้น้ำ
ก็ดูเหมือนจะใช้งานได้ดีอยู่ แต่สัญญาณทะลุผ่านชั้นน้ำไปไม่ค่อยได้เท่าไหร่ ติดๆดับๆ โดยรวมเครื่องยั…",False,['1590901960051679232'],"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",everyone,1590901960051679232,Twitter for iPhone,2022-11-11T02:59:19.000Z,th,,"[{'start': 3, 'end': 11, 'username': 'Wowwlog', 'id': '351536086'}]",,1441,0,0,0,"[{'start': 19, 'end': 34, 'tag': 'iPhone14ProMax'}]",
7,"iPhone14ProをAppleで購入しようとしてる。
現金一括したくないから、ペイディ経由で３６回払いに。
現在審査中。　　

楽天モバイルはなぜか審査に落ちた。
子供の学資保険は、翌日には満額審査を通るのになぜだ？

また落ちたら現金で買ってやる！",False,['1590901952007012353'],"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '783335558466506752', 'name': 'Online - Retail'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1038145750419435520', 'name': 'Rakuten', 'description': 'Rakuten (楽天)'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1230150773012484102', 'name': 'Rakuten Mobile'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1037076317722763265', 'name': 'Insurance', 'description': 'Insurance'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1038145750419435520', 'name': 'Rakuten', 'description': 'Rakuten (楽天)'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1407811550987972617', 'name': 'Industries'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1407812892909473795', 'name': 'eCommerce industry'}}]",everyone,1590901952007012353,Twitter for iPhone,2022-11-11T02:59:17.000Z,ja,"[{'start': 12, 'end': 16, 'probability': 0.71, 'type': 'Product', 'normalized_text': 'Apple'}, {'start': 66, 'end': 71, 'probability': 0.8436, 'type': 'Organization', 'normalized_text': '楽天モバイル'}]",,,0,0,12,0,,
8,iPhone14かiPhone14Proか迷いますなあ。,False,['1590901922806267908'],"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}]",everyone,1590901922806267908,Twitter for iPhone,2022-11-11T02:59:10.000Z,ja,,,,0,0,0,0,,
9,"RT @attlas_exchange: ATTLAS AIRDROP: IPHONE 14 &amp; 600M SHIB PRIZE POOL!

👉Tasks: https://t.co/hNNlLIi7qT

🎁Rewards: 
Random 1 in Top Ref: 01…",False,['1590901889742536709'],"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1572673833676333056', 'name': 'Iphone 14'}}, {'domain': {'id': '49', 'name': 'Product Version', 'description': ""The specific model or version of a product.  Examples: Audi A8, Ben & Jerry's Chocolate Chip Ice Cream""}, 'entity': {'id': '1584926191374344192', 'name': 'Iphone 14'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10024011738', 'name': 'Apple - iPhone'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]",everyone,1590901889742536709,Twitter for Android,2022-11-11T02:59:02.000Z,en,"[{'start': 37, 'end': 42, 'probability': 0.4011, 'type': 'Organization', 'normalized_text': 'IPHONE'}]","[{'start': 3, 'end': 19, 'username': 'attlas_exchange', 'id': '1427191907252195328'}]","[{'start': 84, 'end': 107, 'url': 'https://t.co/hNNlLIi7qT', 'expanded_url': 'https://t.me/AttlasAirdropbot', 'display_url': 't.me/AttlasAirdropb…', 'status': 200, 'title': 'Attlas Airdrop', 'description': 'You can contact @AttlasAirdropbot right away.', 'unwound_url': 'https://t.me/AttlasAirdropbot'}]",3601,0,0,0,,
